"","id","Sp_no","LAT","LA2","LA3","LONG","LO2","LO3","LATDEC","LONGDET","ALT","SGRIDS","PRCODE","STATE","VGR","LOCALITY","HABITAT","SUBSTRATE","HOSTgenus","HOSTsp","HOSTcname","DAY","MONTH","YEAR","date.comments","oldID","BATCH","PHOTO","SPECIMEN","Checked","Initial","date.checked","Basis...specimen","Basis...photo","PhotoID","Submitted.as","date.entered","DENTRY","SS","SH","SL","COMMENTS","COLL.NO","DET","HERB.NO","LITauth","LITbibl","AHC","recorded_by","Doubtful.record","Book.or.REF","REF.Number"
"48351",1206235,763,35,0,30,138,39,0,-35.00833333,138.65,"","LLG","2","SA","","BELAIR NATIONAL PARK","","","","","",19,5,2004,"","19/v",49,"N","n","No","","","","","","","4/12/15","GP","S","","","","","","","","",NA,49,"","",0
"39023",61099,1156,41,37,36,145,4,44,-41.62666667,145.0788889,"44.0","","","TAS","","Savage River crossing, Western Explorer Road. AMG [55] 339967 5389875. ","0","","","","",24,4,2006,"","FM-TARK2006-1135",4,"","","","","","","","","","13/1/14","","","","","Fruiting bodies, gregarious, imbricate. Pileus 4-16 mm across. Fan shaped [See sheet for detailed morphological notes.]","Fungimap Tarkine Expedition FT 1057","","MEL2321996","","",NA,1570,"","",NA
"60111",1220626,81,24,46,21,124,13,7,-24.7725,124.2186111,"412","LLG","1","WA","","450km NE of Wiluna; Mungilli; Little Sandy Desert;  Eagle Highway","low open shrubland and Spinifex","soil","","","",8,8,2018,"","",73,"Y","","2","TM","14/11/18","","7","Podaxis pistillaris 12","","12/12/18","GP","S","","","","","","","","",NA,1023,"","",0
"18642",37109,70,34,59,27,138,42,44,-34.99083333,138.7122222,"622","LLG","1","SA","","Mt. Lofty Botanic Gardens near Crafers, from N entrance","In stringybark woodland area","On fallen wood","Eucalyptus","","",29,4,2006,"","",23,"","","1","","","","","","","15/1/07","gl","S","","","","","","","","",NA,698,"","",0
"19314",35680,58,41,21,25,146,54,37,-41.35694444,146.9102778,"","AMG","2","TAS","","Approx 10km from Exeter.  Notley Fern Gorge.","Wet track side.","In soil - litter.","","","",0,5,2006,"","",4,"N","N","1","","","","","","","11/7/06","WC","S","","","","","","","","",NA,726,"","",0
"42633",120224,760,36,32,19,143,52,13,-36.53861111,143.8702778,"170","LLG","1","","","4km north of Inglewood, North Inglewood Road, Butchers Gully State Forest.","Nearest tree - Eucalyptus behrii.","Soil among leaf litter.","","","",4,8,2011,"","",7,"N","N","1","","","0","","","","31/3/15","WC","S","","","","","","","","",NA,960,"","",0
"2863",3337,75,36,56,24,144,21,24,-36.94,144.3566667,"","LLM","","VIC","","Pilchers Bridge F&F Reserve","gully","leaf litter","","","",20,6,1999,"","CHE0110",3,"N","","1","","","","","","","22/8/00","BA","S","","","","","","","","",3,110,"","",NA
"5486",6142,37,36,46,30,146,59,0,-36.775,146.9833333,"","LLU","","VIC","R45","Bright: Long Tunnel","Eucalyptus rubida and Acacia dealbata","","","","",21,6,1997,"","JUL0088",4,"N","","1","","","","","","","30/6/97","","S","","","3 specimens together.","","","","","",3,88,"","",NA
"4704",4838,6,37,7,0,142,31,0,-37.11666667,142.5166667,"","LLM","2","VIC","J1","Grampians NP: near fireline off Halls Gap - Mt Zero Road, 3 km N of Delleys Bridge","","","","","",28,8,1996,"","MCC0104",6,"N","N","1","","","","","","","13/9/96","","S","","","","","","","","",1,104,"","",NA
"44936",1207699,1847,32,49,30,138,3,0,-32.825,138.05,"160","LLG","2","SA","","Mount Remarkable NP Mambray Creek ","","","","","",25,7,2008,"","25/vii",49,"","n","No","","","","","","","16/12/15","GP","S","","","","","","","","",NA,49,"","",0
"43433",120533,2133,28,11,0,153,32,0,-28.18333333,153.5333333,"","DES","2","NSW","","Razorback","","long fallen rotten stump","","","",15,3,1962,"","",1,"","","1","","","","","","","1/5/15","GP","S","","","CSIRO Division of Forest Products Fungi Herbarium accession number #8534 (specimen not present or not retained when moved to MEL in 2000). Data from accession book held at RBG Melbourne.","Cann, H.J.","Walters, N.E.M.","","","",NA,1586,"","",0
"32215",51488,46,36,9,38,150,4,47,-36.16055556,150.0797222,"","LLG","2","NSW","","5km west of Dalmeny, Box Cutting Rainforest.","Remnant rainforest.","","","","",8,5,2010,"","",41,"","","2","","","","","","","11/4/12","WC","S","","","","","","","","",NA,534,"","",0
"18960",36035,153,0,0,0,0,0,0,NA,NA,"","","","VIC","","","","","","","",0,0,2006,"","",74,"N","N","4","TM","5/6/06","0","6","","4","10/10/06","WC","S","","","","","","","","",NA,30,"","",0
"7894",9091,69,37,53,14,146,15,15,-37.88722222,146.2541667,"370","LLG","","VIC","","Central Highlands: Tyers River West Branch, approximately 7km WSW of Mt Erica","wet eucalyptus forest","","","","",8,1,2002,"","",30,"N","N","1","","","","","","","5/6/02","GA","S","","","","","","","","",1,86,"","",NA
"36969",56232,556,37,59,6,145,35,41,-37.985,145.5947222,"","LLG","2","VIC","","Bunyip State Forest, Mortimer Picnic Ground. Nature Trail","Wet sclerophyll forest - mountain grey gum Eucalyptus cypellocarpa","Soil","","","",9,6,2013,"","",123,"N","N","1","","","","","","","27/9/13","GP","S","","","","","","","","",NA,178,"","",0
"32343",52291,510,35,58,53,136,54,10,-35.98138889,136.9027778,"30","LLG","1","SA","","Kelly Hill Caves Conservation Park, Kangaroo Island","Eucalyptus cladocalyx, E. diversifolia open woodland","wood","Eucalyptus","sp.","",27,6,2010,"","",43,"","","2","","","","","","","25/7/12","GL","S","","","","","","","","",NA,49,"","",NA
"33421",52591,382,41,23,42,146,48,23,-41.395,146.8063889,"390","LLG","2","TAS","","Black Sugarloaf big tree track","eucalypt and dogwood (Pomaderris apetala) forest","rotting log","","","",22,11,2010,"","",23,"","","2","","","","","","","25/7/12","GL","S","","","","","","","","",NA,640,"","",NA
"11353",16441,66,37,52,52,145,21,25,-37.88111111,145.3569444,"","MEL","2","VIC","","Dandenongs, Sherbrooke Forest, main picnic area","Tall Eucalypt forest","all along huge log on edge of track","","","",14,5,2003,"","",16,"N","N","1","","","","","","","13/11/03","PG","S","","","about 50+","","","","","",NA,132,"","",NA
"52993",1213389,354,35,26,48,138,31,59,-35.44666667,138.5330556,"","LLG","2","SA","","Springmount Conservation Park near Mount Compass","Open sclerophyll woodland, Eucalyptus baxteri with Xanthorrhoea semiplana, Pultenaea daphnoides, Acacia myrtifolia in understorey","","","","",16,7,2016,"","",43,"","","1","","","","","","","29/7/16","GP","S","","","Sent by Pam Catcheside","","","","","",NA,698,"","",0
"29108",49046,42,38,29,0,145,57,0,-38.48333333,145.95,"","DES","3","VIC","","Leongatha area.  'Kings Park', a small reserve outside Leongatha.","","","","","",0,0,0,"1960s, 70s, 80s","",1,"N","N","1","","","0","0","","","8/3/11","WC","S","","","Appears annually.","","","","","",NA,236,"","",0
"60362",1220921,1315,31,52,11,115,54,24,-31.86972222,115.9066667,"","LLG","1","WA","","Lightning Swamp Bushland, Noranda","Banksia, Jarrah, Marri & Melaleuca preissiana woodland with Melaleuca preissiana woodland on northern edge  ","Growing in soil.","","","",27,7,2014,"","",1,"","","","","","","","","","13/3/19","GP","S","","","Pinkish gills.","","","","","",NA,1162,"","",0
"12217",17283,256,37,29,47,145,14,48,-37.49638889,145.2466667,"","LLM","2","VIC","","Kinglake NP: track to Masons Falls","Eucalyptus forest","","","","",0,0,1992,"","",10,"","","1","","","","","","","2/1/04","CFR","S","","","","","","","","",4,9,"","",NA
"37722",62730,1384,26,38,12,152,26,45,-26.63666667,152.4458333,"423","","2","QLD","","Peach Trees","Dry sclerophyll forest","soil","","","",19,3,2009,"","",2,"","","1","","","","","","","12/3/14","GP","S","","","","","","","","",NA,1287,"","",NA
"2993",2795,69,37,55,22,145,12,8,-37.9228,145.2022,"","AMG","2","VIC","","Mulgrave : Mulgrave Reserve","","leaf litter","","","",8,5,2000,"","HUB0169",14,"N","","","","","","","","","18/5/00","BA","S","","","under a Eucalypt","","","","","",NA,169,"","",NA
"218",1217126,679,34,59,0,138,42,0,-34.98333333,138.7,"","LLG","2","SA","","Mount Lofty Botanic Garden","","","","","",9,5,2015,"","",45,"","","","","","","","","","4/8/17","GP","S","","","","","","","","",NA,698,"","",0
"58201",1218927,59,37,17,32,142,56,8,-37.29222222,142.9355556,"347","LLG","1","VIC","","Ararat, 47 Elizabeth Street","On the lawn in a garden","Lawn","","","",1,6,2017,"","",17,"","","1","","","","","","","4/5/18","WC","S","","","","","","","","",NA,686,"","",0
"43735",120610,2156,37,40,0,145,44,0,-37.66666667,145.7333333,"","DES","2","VIC","","Acheron Way","","stump","","","Myrtle Beech",14,5,1950,"","",1,"","","1","","","","","","","1/5/15","GP","S","","","CSIRO Division of Forest Products Fungi Herbarium accession number #2499 (specimen not present or not retained when moved to MEL in 2000). Data from accession book held at RBG Melbourne.","Da Costa, W.E.","Da Costa, W.E.","","","",NA,1586,"","",0
"39975",62245,454,37,49,53,144,54,30,-37.83138889,144.9083333,"","GOO","2","VIC","","Westgate Park, Todd Road, Melbourne","","","","","",1,6,2012,"","",2,"N","N","1","","","","","","","20/2/14","","S","","","","","","","","",NA,1566,"","",0
"32408",51386,416,35,1,39,138,40,15,-35.0275,138.6708333,"","LLG","1","SA","","Upper Sturt, corner of Upper Sturt Rd and Pole Rd, private property.","Eucalyptus obliqua forest.","On log.","","","",3,6,2007,"","",1,"N","N","2","TM","7/12/11","","4","","","14/2/12","WC","S","","","Photo on CD 70.","","","","","",NA,1467,"","",0
"27354",44699,400,37,53,18,145,22,9,-37.88833333,145.3691667,"","MEL","2","VIC","","Dandenong Ranges National Park, Grants Picnic Ground.","Wet mountain ash forest.","Log","","","",11,7,2009,"","",10,"N","N","2","GP","4/9/09","","4","400im01","","20/4/10","WC","S","","","","","","","","",NA,760,"","",0
"24889",41959,6,41,16,13,148,17,55,-41.27027778,148.2986111,"50","AMG","2","TAS","","St Helens.  Near Moulting Bay / Binalong Bay.","Damp gully with Eucalyptus and Allocasuarina.","In soil.","","","",4,3,2008,"","",14,"N","N","2","TM","8/8/08","0","1","","","20/1/09","WC","S","","","Photo stored with record.","","","","","",NA,933,"","",0
"12971",18404,254,41,33,31,147,4,58,-41.55861111,147.0827778,"","LLG","1","TAS","","""Wickford"" Longford","bush remnant dominated by E. amygdalina","soil","","","",12,9,2001,"","",14,"","","1","","","","","","","23/1/04","CFR","S","","","","","","","","",4,640,"","",NA
"14706",28614,90,37,22,0,142,29,0,-37.36666667,142.4833333,"","LLM","2","VIC","","Grampians National Park, Jimmy Creek campground.","Mixed Eucalyptus forest.","On dead Banksia sapling.","Banksia","","",10,7,2004,"","",21,"N","N","1","","","","","","","26/10/04","RS","S","","","","","","","","",NA,187,"","",NA
"60563",1221138,195,33,48,27,150,59,46,-33.8075,150.9961111,"","DES","2","NSW","","Parramatta Park.","","Amidst leaf, stick and seeds litter.","","","",16,12,2018,"","",2,"","","3","TM","16/1/19","","7","IMG0021A","Unidentifiable","26/4/19","WC","S","","","One specimen in the area.","","","","","",NA,2056,"","",0
"45758",1204605,731,35,45,0,150,10,0,-35.75,150.1666667,"","LLG","2","NSW","","Eurobodalla Botanic Gardens","Eucalypt forest","creek bank","","","",20,4,2015,"","",5,"Y","N","2","TM","23/10/15","","7","D114","","26/10/15","GP","S","","","","","","","","",NA,1570,"","",0
"1025",1418,25,28,39,0,153,37,0,-28.65,153.6167,"","LLH","","NSW","","Byron Bay","","","","","",3,4,1919,"","BEL0278",1,"N","","1","","","","","","","16/4/99","","","H","","","J.B. Cleland","","AD 10011","","",NA,278,"","",NA
"52836",1212616,305,37,41,12,145,34,15,-37.68666667,145.5708333,"540","LLG","2","VIC","","Badger Weir, near Healesville, across the creek to Lyrebird Track","Eucalypt forest (including Mountain Ash), tree ferns, grassy clearing. Part of the area was burnt in 2009 bushfires so there is a verdant understorey","ground","","","",5,6,2016,"","",166,"","","","","","","","","","1/7/16","GP","S","","","","","","","","",NA,178,"","",0
"54683",1214493,755,35,1,51,138,42,14,-35.03083333,138.7038889,"","DES","2","SA","","Mark Oliphant Conservation Park","","","","","",14,7,2012,"","",1,"","","1","","","","","","","24/10/16","GP","S","","","","","","","","",NA,1929,"","",0
"5388",5988,4,34,38,49,150,28,43,-34.64694444,150.4786111,"","AMG","2","NSW","","Bundanoon: near Fitzroy Falls","Open woodland, beside main road under pines","","","","",0,5,1998,"","JOR0046",3,"N","","1","","","","","","","10/8/98","PG","S","","","6 individuals seen (seen from May - July)","","","","","",3,46,"","",NA
"39228",61410,93,15,47,42,145,14,27,-15.795,145.2408333,"200","LLM","2","QLD","","Approximately 35-40km (straight line) south of Cooktown, Shipton's Flat.","Wet tropics rainforest.","Rotting log.","","","",23,10,2013,"","",156,"N","N","2","TM","15/11/13","0","7","093rb04","","13/1/14","WC","S","","","","","","","","",NA,30,"","",0
"31659",50698,93,28,14,10,153,8,12,-28.23611111,153.1366667,"850","LLG","1","QLD","","McPherson Range","Rainforest","On dead, fallen wood","","","",6,6,2007,"","",8,"","","1","","","","","","","24/11/11","GP","S","","","Common","","","","","",NA,217,"","",0
"41020",63598,1,37,50,2,145,5,31,-37.83388889,145.0919444,"","DES","2","VIC","","Surrey Hills, South Surrey Park.","","","","","",29,5,2012,"","",15,"N","N","1","","","","","","","1/4/14","WC","S","","","","","","","","",NA,524,"","",0
"46171",1203919,268,37,34,0,145,21,54,-37.56666667,145.365,"","DES","2","VIC","","Kinglake National Park, Jehosaphat Gully picnic area to start of Lavers Circuit","Eucalypt forest dominated by Mountain Grey Gum E. cypellocarpa and Messmate E. obliqua with tree-ferns Cyathea australis","Mulch","","","",15,6,2014,"","",141,"N","","","","","","","","","10/7/15","GP","","","","","","","","","",NA,178,"","",0
"45735",1209037,1010,34,59,17,138,43,5,-34.98805556,138.7180556,"","LLG","2","SA","","MOUNT LOFTY BOTANIC GARDEN","","","","","",13,4,2014,"","13/iv",49,"","n","No","","","","","","","30/12/15","GP","S","","","","","","","","",NA,49,"","",0
"18025",34086,7,41,12,49,147,10,0,-41.21361111,147.1666667,"220","LLG","2","TAS","","Lebrina (Soccol's)","Dry/wet forest dominated by euc spp and Acacia dealbata","eucalypt roots","","","",28,7,2005,"","",18,"","","1","","","","","","","22/12/05","GL","S","","","seen here 26/6/03","","","","","",NA,640,"","",0
"27029",45229,62,41,23,42,146,48,23,-41.395,146.8063889,"390","LLG","2","TAS","","Black Sugarloaf (big tree track)","eucalypt forest","ground","","","",2,11,2008,"","",20,"","","2","","","","","","","17/5/10","GL","S","","","seen here previous years","","","","","",NA,640,"","",0
"37766",56806,27,38,20,55,141,35,36,-38.34861111,141.5933333,"3","LLG","1","VIC","","Portland, Fawthrop Lagoon, road on west side.","Beside the road.","Growing in cut grass.","","","",15,5,2013,"","",7,"N","N","1","","","0","","","","6/11/13","WC","S","","","","","","","","",NA,686,"","",0
"35167",54430,268,37,59,6,145,35,41,-37.985,145.5947222,"","LLG","2","VIC","","Bunyip State Park, Mortimer Reserve. Nature trail","Wet sclerophyll forest with mountain grey gum Eucalyptus cypellocarpa","Buried wood","","","",13,5,2012,"","",110,"N","N","1","","","","","","","17/1/13","GP","S","","","","","","","","",NA,178,"","",0
"22721",40079,2,37,3,0,150,1,0,-37.05,150.0166667,"","DES","3","NSW","","Ben Boyd National Park, Bittangabee Bay.  On walking track between Bittangabee Bay and Pulpit Rock.","Eucalypt forest.","Growing in leaf litter on ground.","","","",0,2,2001,"","",1,"N","N","1","","","0","0","","","27/5/08","WC","S","","","Conditions dry and hot.","","","","","",NA,774,"","",0
"17848",34850,8,34,40,39,117,52,26,-34.6775,117.8738889,"410","LLG","1","WA","","Porongorup National Park","Moist sclerophyll eucalypt forest","On dead fallen twigs","Eucalyptus","diversicolor","karri",20,11,2005,"","",6,"","","1","","","","","","","18/1/06","GL","S","","","Abundant on this walk trail","","","","","",NA,217,"","",0
"55632",1215485,372,16,54,13,145,45,6,-16.90361111,145.7516667,"","GOO","2","Qld","","Cairns Botanic Gardens","Garden with wood chips","Soil","","","",19,7,2016,"","",32,"Y","","2","TM","20/1/17","","7","Phallus multicolor","","20/1/17","GP","S","","","","","","","","",NA,760,"","",0
"30746",50587,354,38,23,0,145,34,0,-38.38333333,145.5666667,"","LLM","2","Vic","","The Gurdies Conservation Park, approx 1 km from Dunbabbin Rd towards cemetery","Open coastal forest","sandy soil","","","",10,8,2002,"","",36,"","","2","TM","3/12/04","","4","","","16/11/11","GP","S","","","Photo on CD 64 DSCN5914","","","","","",NA,707,"","",0
"14383",27573,46,37,43,25,145,11,21,-37.72361111,145.1891667,"","MEL","","VIC","","Eltham Lower Park.","","On pine stumps.","","","",27,4,2003,"","",11,"N","N","1","","","0","0","","","20/7/04","WC","S","","","Several groups.","","","","","",NA,82,"","",NA
"42710",120185,1283,35,47,0,150,8,30,-35.78333333,150.1416667,"","LLG","3","NSW","","Mogo","","","","","",17,4,2014,"","",62,"Y","","3","TM","6/3/15","","7","1283tjv01","Unidentifiable","27/3/15","GP","S","","","","","","","","",NA,534,"","",0
"40903",64525,108,27,35,0,153,20,0,-27.58333333,153.3333333,"50","LLU","2","QLD","","Great Glider Reserve","","","","","",4,5,2013,"","",3,"","","1","","","","","","","28/10/14","WC","S","","","Collected by Lil Spadijer","","","","","",NA,1287,"","",NA
"56679",1216847,1322,38,4,58,145,53,21,-38.08277778,145.8891667,"","DES","2","Vic","","Drouin West, 45 Muddy Creek Road.","Grown on the side of the small drain under a sweet pittosporum.","","","","",5,11,2014,"","",36,"N","N","2","TM","21/10/16","","1","1322sg01, 1322sg02","","27/7/17","WC","S","","","","","","","","",NA,20,"","",0
"24836",42967,441,34,59,25,138,42,40,-34.99027778,138.7111111,"","DES","2","SA","","Mount Lofty Botanic Gardens.","","","","","",29,4,2006,"","",26,"N","N","1","","","","","","","27/10/09","WC","S","","","","","","","","",NA,698,"","",0
"54008",1213891,1808,38,1,19,145,26,29,-38.02194444,145.4413889,"","LLG","2","VIC","","Upper Beaconsfield, Leppitt Road","sclerophyll woodland","on rotting log","","","",17,7,2012,"","",4,"Y","","3","TM","19/8/16","","7","fungi, orange Stereum sp under bark 1192","Stereum sp.","26/8/16","GP","S","","","Photos backed up on CD 96","","","","","",NA,1512,"","",0
"45977",1209021,2026,35,47,0,137,51,0,-35.78333333,137.85,"","LLG","2","SA","","Kangaroo Island, Dudley Conservation Park","","","","","",22,6,2014,"","22/vi",49,"","n","No","","","","","","","30/12/15","GP","S","","","","","","","","",NA,49,"","",0
"50369",1209197,299,35,36,0,138,14,28,-35.6,138.2411111,"","DES","2","SA","","13km east of Cape Jervis, Deep Creek Conservation Park, Stringybark Loop","","","","","",4,8,2012,"","",40,"","","1","","","","","","","8/1/16","GP","S","","","pieces on ground dropped by cockatoos feeding on insect grubs in the fungus","","","","","",NA,698,"","",0
"39322",61827,167,35,58,47,136,54,19,-35.97972222,136.9052778,"50","LLG","1","SA","","Kelly Hill CP, Kangaroo Island","Eucalyptus cladocalyx woodland","in soil","","","",25,6,2011,"","",48,"","N","","","","","","","","11/2/14","WC","","","","","","","","","",NA,49,"","",NA
"50558",1209285,2009,35,14,53,138,41,3,-35.24805556,138.6841667,"","DES","2","SA","","Kuitpo Forest, about 50 km south of Adelaide, Christmas Hill 2013 burn site (CH7)","","","","","",20,6,2015,"","",52,"","Y","1","","","","","","","8/1/16","GP","S","","","","","","","","",NA,49,"","",0
"29750",48695,94,38,25,20,144,57,33,-38.42222222,144.9591667,"","LLG","2","VIC","","Mornington Peninsula NP. Greens Bush, Baldry Crossing","Heathy eucalypt forest with Eucalyptus radiata, E. obliqua and E. viminalis, Pomaderris, Olearia lirata.","Wood","","","",6,6,2010,"","",87,"N","N","1","","","","","","","21/1/11","GP","S","","","","","","","","",NA,178,"","",0
"21993",39746,8,36,11,14,150,4,3,-36.18722222,150.0675,"","LLG","1","NSW","","Cowdroy Creek.","Remnant littoral rainforest.","Tree litter.","","","",21,8,2007,"","",19,"N","N","1","","","0","0","","","19/2/08","WC","S","","","Fresh samples after rain last week.","","","","","",NA,534,"","",0
"44136",1207505,351,33,54,39,138,35,58,-33.91083333,138.5994444,"497","DES","2","SA","","Clare Valley, Spring Gully Conservation Park","","","","","",29,7,2007,"","29/vii",49,"","n","No","","","","","","","16/12/15","GP","S","","","","","","","","",NA,49,"","",0
"58753",1219292,1057,36,49,21,145,49,9,-36.8225,145.8191667,"529","LLG","1","VIC","","Approximately 8 km north-east of Strathbogie, Creek Junction, Ankers Road, by Shingle Hut Creek.","","","","","",30,4,2017,"","",27,"","","3","TM","13/7/17","","4","159, 160","Unidentifiable","27/6/18","WC","S","","","Photos on CD 111.","","","","","",NA,1520,"","",0
"23654",40768,434,37,28,46,144,17,29,-37.47944444,144.2913889,"","LLG","2","VIC","","Blackwood. Jack Cann Reserve, River Heritage Walk","Eucalypt open forest with narrow-leaf peppermint, manna gum, messmate, blackwood. Pines around picnic area.","Litter","","","",3,7,2005,"","",48,"N","N","","","","","","","","20/8/08","GP","","","","","","","","","",NA,178,"","",0
"34766",55406,1044,36,20,2,146,48,50,-36.33388889,146.8138889,"","DES","2","VIC","","Stanley State Forest, S of Yackandandah. Cnr Basin Service Rd & Kohns Spur track","Eucalypt woodland","Soil","","","",15,6,2009,"","",1,"Y","","2","TM","1/1/12","","4","","","3/5/13","GP","S","","","Photo on CD 59","","","","","",NA,1444,"","",NA
"32754",51898,53,33,54,20,138,35,34,-33.90555556,138.5927778,"500","LLG","1","SA","","Spring Gully CP, near Clare","Eucalypt woodland","soil","","","",29,7,2007,"","",40,"","","2","","","","","","","30/5/12","GL","S","","","","","","","","",NA,49,"","",0
"23321",40310,35,33,30,0,150,23,0,-33.5,150.3833333,"","LLU","2","NSW","","Waterfall Reserve, Mt Wilson.","","","","","",14,4,2007,"","",22,"N","N","1","","","","","","","8/7/08","WC","S","","","","","","","","",NA,297,"","",0
"44120",1207489,2032,35,5,30,138,39,0,-35.09166667,138.65,"","LLG","3","SA","","Scott Creek Conservation Park, Adelaide Hills","","","","","",8,9,2007,"","8/ix",49,"","n","No","","","","","","","16/12/15","GP","S","","","","","","","","",NA,49,"","",0
"46875",1210641,18,34,56,38,117,21,43,-34.94388889,117.3619444,"","LLG","1","WA","","Riche Rd, Denmark, near Scotsdale Brook","Tall wet forest dominated by Eucalyptus diversicolor, with fallen logs","soil","","","",23,6,2014,"","",23,"","","1","","","","","","","19/2/16","GP","S","","","","","","","","",NA,78,"","",0
"35903",55668,1033,16,53,55,145,41,15,-16.89861111,145.6875,"100","LLU","2","QLD","","Approximately 8km WNW of Cairns, Redlynch, 51 Harvey Road.","Tropical rainforest.","On old palm frond.","","","",11,3,2012,"","",16,"N","N","1","","","","4","1033rpr02","","25/6/13","WC","S","","","","","","","","",NA,1516,"","",0
"41984",64703,924,34,59,0,138,43,0,-34.98333333,138.7166667,"","DES","2","SA","","15km south-east of Adelaide, Mount Lofty Botanic Gardens.","","","","","",21,4,2012,"","",39,"N","N","1","","","","","","","5/11/14","WC","S","","","","","","","","",NA,698,"","",0
"1772",1399,30,37,55,59,145,28,47,-37.93305556,145.4797222,"","AMG","2","VIC","","Emerald","Among Eucalyptus radiata","","","","",24,5,1998,"","WEA0043",6,"N","","1","","","","","","","26/6/98","PG","S","","","","","","","","",2,43,"","",NA
"38724",60653,318,41,28,0,145,28,0,-41.46666667,145.4666667,"","","","TAS","","Philosopher Falls","Old growth, cool temperate Nothofagus cunninghamii rainforest with Atherospermum moschatum, Dicksonia antartctica","","","","",5,5,2005,"","FM-TARK2005-27",4,"","","","","","","","","","13/1/14","","","","","","","","","","",NA,1570,"","",NA
"6735",8013,55,34,51,0,138,36,0,-34.85,138.6,"","LLH","","SA","","Adelaide: Enfield","","","","","",12,8,1927,"","",19,"N","N","1","","","","","","","25/2/02","GA","","H","","","J.B. Cleland","","ADW 5514","","",NA,49,"","",NA
"60510",1221072,2521,31,52,11,115,54,20,-31.86972222,115.9055556,"","LLG","1","WA","","Lightning Swamp Bushland, Noranda","Banksia, Jarrah, Marri & Melaleuca preissiana woodland with Melaleuca preissiana woodland on northern edge  ","Very aged & dried out under  dead Banksia bark.","","","",16,8,2009,"","",1,"","","","","","","","","","13/3/19","GP","S","","","","","","","","",NA,1162,"","",0
"33469",53605,980,38,1,19,145,26,29,-38.02194444,145.4413889,"","LLG","2","VIC","","Upper Beaconsfield, Leppitt Road","sclerophyll woodland","","","","",15,6,2012,"","",1,"","","2","TM","2/8/12","","","980ll01","","5/10/12","GL","S","","","","","","","","",NA,1512,"","",NA
"53634",1213449,473,37,43,59,145,14,24,-37.73305556,145.24,"","LLG","2","VIC","","Warrandyte State Park, Jumping Creek Reserve. Car park to vehicle track, then around the nature trail","Kunzea with sparse eucalypts, mainly Red Box Eucalyptus polyanthemos","wood, log","","","",17,7,2016,"","",173,"Y","","1","","","","7","JC8 Mycena carmeliana by Richard Hartland","","10/8/16","GP","S","","","","","","","","",NA,178,"","",0
"47045",1206000,2045,35,13,30,139,7,0,-35.225,139.1166667,"55","LLG","2","SA","","Ferries-McDonald Conservation Park, about 18 km south-west of Murray Bridge","","","","","",20,9,2003,"","20/ix",49,"N","n","No","","","","","","","4/12/15","GP","S","","","","","","","","",NA,49,"","",0
"37594",56726,746,38,20,32,144,8,25,-38.34222222,144.1402778,"655","GOO","2","VIC","","North of Anglesea, Cecil Track","Creek floodplain with swamp gum","Soil, around base of eucalypt trunk","","","",30,6,2013,"","",128,"N","N","1","","","","","","","1/11/13","GP","S","","","","","","","","",NA,178,"","",0
"6263",6645,74,31,55,0,115,50,0,-31.9167,115.8333,"","","","WA","","Perth suburb, S : Peppermint Grove","woodland","","","","",13,6,1971,"","YOU0234",1,"N","","","","","","","","","27/3/98","","","H","","70","","Young, Tony","","","",NA,234,"","",NA
"1048",1110,1,37,54,18,145,8,54,-37.905,145.1483,"","AMG","2","VIC","","Notting Hill: Saniky Street","","soil and grass","","","",16,4,2000,"","HUB0169",13,"N","","","","","","","","","28/4/00","BA","S","","","","","","","","",NA,169,"","",NA
"7951",12687,100,37,55,19,145,12,0,-37.92194444,145.2,"","AMG","","VIC","","Mulgrave Reserve","","in woodchips and leafy mulch","","","",29,5,2000,"","",15,"N","N","1","","","","","","","12/12/02","GL","S","","","2 specimens, one near base of recently planted, very young Melaleuca","","","","","",2,169,"","",NA
"32718",52605,70,34,19,14,116,7,17,-34.32055556,116.1213889,"330","LLG","1","WA","","Diamond Tree Lookout","Karri forest","dead fallen log","Eucalyptus","diversicolor","karri",13,5,2011,"","",12,"","","1","","","","","","","25/7/12","GL","S","","","","","","","","",NA,217,"","",NA
"29825",49644,58,35,26,52,138,31,50,-35.44777778,138.5305556,"442","LLG","1","SA","","20km north-east of Victor Harbor, Alma Rd, Springmount Conservation Park.","Eucalyptus obliqua forest, at edge of track.","On soil.","","","",30,5,2010,"","",5,"N","N","1","","","","","","","14/6/11","WC","S","","","","","","","","",NA,1232,"","",0
"57409",1217901,1064,NA,NA,NA,NA,NA,NA,-41.683044,146.782043,"400","LLG","2","TAS","","Liffey Falls  - Starting at Lower Liffey Falls car park, walking up the track on the Bush Heritage reserve along Pages Creek","Gallery rainforest, Nothofagus cunninghamii and Atherosperma moschatum","on log 40 cm diameter","","","",18,5,2016,"","",6,"","","","","","","","","","8/12/17","GP","S","","","Det: Julie Fielder","","","","","",NA,1570,"","",0
"44999",1206660,447,38,16,58,146,0,28,-38.28277778,146.0077778,"","LLG","2","VIC","","Mount Worth State Park, Moonlight Creek area, car park and Giants Circuit","Tall wet forest with Eucalyptus regnans, Acacia melanoxylon, A. dealbata,  Pomaderris aspera and tree-ferns","Wood","","","",10,5,2015,"","",149,"N","N","1","","","","","","","16/12/15","GP","S","","","","","","","","",NA,178,"","",0
